Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-June-2020,1.76,1.78,1.76,1.78,1.775000000000000000,16000,4,28400.00,16000,100.00,0.02,0.02
25-June-2020,1.77,1.77,1.70,1.70,1.735000000000000000,8000,2,13880.00,8000,100.00,0.07,-0.07
24-June-2020,1.56,1.70,1.55,1.70,1.642000000000000000,20000,5,32840.00,20000,100.00,0.15,0.14
22-June-2020,1.63,1.63,1.63,1.63,1.630000000000000000,12000,3,19560.00,12000,100.00,0.00,0.00
19-June-2020,1.56,1.56,1.56,1.56,1.560000000000000000,4000,1,6240.00,4000,100.00,0.00,0.00
18-June-2020,1.63,1.63,1.63,1.63,1.630000000000000000,4000,1,6520.00,4000,100.00,0.00,0.00
17-June-2020,1.56,1.56,1.56,1.56,1.560000000000000000,4000,1,6240.00,4000,100.00,0.00,0.00
16-June-2020,1.48,1.49,1.48,1.49,1.487500000000000000,16000,4,23800.00,16000,100.00,0.01,0.01
15-June-2020,1.42,1.42,1.42,1.42,1.420000000000000000,4000,1,5680.00,4000,100.00,0.00,0.00
12-June-2020,1.49,1.49,1.49,1.49,1.490000000000000000,8000,2,11920.00,8000,100.00,0.00,0.00
10-June-2020,1.56,1.56,1.56,1.56,1.560000000000000000,44000,9,68640.00,44000,100.00,0.00,0.00
9-June-2020,1.64,1.64,1.64,1.64,1.640000000000000000,4000,1,6560.00,4000,100.00,0.00,0.00
8-June-2020,1.72,1.72,1.72,1.72,1.720000000000000000,16000,2,27520.00,16000,100.00,0.00,0.00
5-June-2020,1.81,1.81,1.81,1.81,1.810000000000000000,4000,1,7240.00,4000,100.00,0.00,0.00
4-June-2020,1.90,1.90,1.90,1.90,1.900000000000000000,4000,1,7600.00,4000,100.00,0.00,0.00
3-June-2020,1.80,1.93,1.77,1.93,1.801666666666666666,24000,6,43240.00,24000,100.00,0.16,0.13
2-June-2020,1.70,1.86,1.70,1.86,1.818888888888888888,36000,9,65480.00,36000,100.00,0.16,0.16
1-June-2020,1.62,1.78,1.62,1.78,1.709166666666666666,48000,11,82040.00,48000,100.00,0.16,0.16
6-May-2020,1.70,1.70,1.70,1.70,1.700000000000000000,4000,1,6800.00,4000,100.00,0.00,0.00
5-May-2020,1.75,1.75,1.75,1.75,1.750000000000000000,4000,1,7000.00,4000,100.00,0.00,0.00
30-April-2020,1.75,1.75,1.75,1.75,1.750000000000000000,4000,1,7000.00,4000,100.00,0.00,0.00
28-April-2020,1.75,1.75,1.75,1.75,1.750000000000000000,4000,1,7000.00,4000,100.00,0.00,0.00
21-April-2020,1.75,1.75,1.75,1.75,1.750000000000000000,4000,1,7000.00,4000,100.00,0.00,0.00
20-April-2020,1.84,1.84,1.84,1.84,1.840000000000000000,4000,1,7360.00,4000,100.00,0.00,0.00
17-April-2020,1.64,1.78,1.64,1.78,1.710000000000000000,8000,2,13680.00,8000,100.00,0.14,0.14
16-April-2020,1.72,1.72,1.72,1.72,1.720000000000000000,4000,1,6880.00,4000,100.00,0.00,0.00
15-April-2020,1.66,1.66,1.66,1.66,1.660000000000000000,4000,1,6640.00,4000,100.00,0.00,0.00
13-April-2020,1.60,1.60,1.60,1.60,1.600000000000000000,4000,1,6400.00,4000,100.00,0.00,0.00
9-April-2020,1.45,1.53,1.45,1.53,1.490000000000000000,8000,2,11920.00,8000,100.00,0.08,0.08
8-April-2020,1.46,1.46,1.46,1.46,1.460000000000000000,4000,1,5840.00,4000,100.00,0.00,0.00
